,Postal code,Boroughs
0,46004,l'Eixample
1,46005,l'Eixample
2,46006,l'Eixample
3,46010,El Pla del Real
4,46001,Ciutat Vella
5,46002,Ciutat Vella
6,46003,Ciutat Vella
7,46008,Extramurs
8,46007,Extramurs
9,46014,Patraix
10,46017,Jesús
11,46015,Campanar
12,46009,La Saïdia
13,46021,Algirós
14,46022,Algirós
15,46020,Benimaclet
16,46023,Camins al Grau
17,46011,Poblats Marítims
18,46024,Poblats Marítims
19,46013,Quatre Carreres
20,46026,Pobles del Sud
21,46025,Benicalap
22,46018,l'Olivereta
23,46019,Rascanya
24,46016,Rascanya
25,46035,Pobles de l'Oest
26,46112,Pobles del Nord
